Year,sector_id,hydro_electric,Geothermal,Solar,wind,Wood,waste,ethenol,biomass,Total,Biodiesel,Renewable_Diesel,Other_Biodiesel
1949,1,,,,,1055.186,,,,1055.186,,,
1950,1,,,,,1005.529,,,,1005.529,,,
1951,1,,,,,958.212,,,,958.212,,,
1952,1,,,,,899.164,,,,899.164,,,
1953,1,,,,,831.947,,,,831.947,,,
1954,1,,,,,799.748,,,,799.748,,,
1955,1,,,,,775.066,,,,775.066,,,
1956,1,,,,,738.706,,,,738.706,,,
1957,1,,,,,701.812,,,,701.812,,,
1958,1,,,,,688.447,,,,688.447,,,
1959,1,,,,,646.926,,,,646.926,,,
1960,1,,,,,626.63,,,,626.63,,,
1961,1,,,,,586.864,,,,586.864,,,
1962,1,,,,,560.084,,,,560.084,,,
1963,1,,,,,536.967,,,,536.967,,,
1964,1,,,,,499.058,,,,499.058,,,
1965,1,,,,,468.15,,,,468.15,,,
1966,1,,,,,454.974,,,,454.974,,,
1967,1,,,,,433.973,,,,433.973,,,
1968,1,,,,,425.511,,,,425.511,,,
1969,1,,,,,415.053,,,,415.053,,,
1970,1,,,,,400.777,,,,400.777,,,
1971,1,,,,,381.874,,,,381.874,,,
1972,1,,,,,379.776,,,,379.776,,,
1973,1,,,,,354.096,,,,354.096,,,
1974,1,,,,,370.952,,,,370.952,,,
1975,1,,,,,425.408,,,,425.408,,,
1976,1,,,,,481.634,,,,481.634,,,
1977,1,,,,,541.783,,,,541.783,,,
1978,1,,,,,621.849,,,,621.849,,,
1979,1,,,,,728.076,,,,728.076,,,
1980,1,,,,,850,,,,850,,,
1981,1,,,,,870,,,,870,,,
1982,1,,,,,970,,,,970,,,
1983,1,,,,,970,,,,970,,,
1984,1,,,,,980,,,,980,,,
1985,1,,,,,1010,,,,1010,,,
1986,1,,,,,920,,,,920,,,
1987,1,,,,,850,,,,850,,,
1988,1,,,,,910,,,,910,,,
1989,1,,5,51.654,,920,,,,976.654,,,
1990,1,,5.5,54.724,,580,,,,640.224,,,
1991,1,,5.9,56.448,,610,,,,672.348,,,
1992,1,,6.4,58.473,,640,,,,704.873,,,
1993,1,,6.8,60.122,,550,,,,616.922,,,
1994,1,,6.2,61.77,,520,,,,587.97,,,
1995,1,,6.6,62.725,,520,,,,589.325,,,
1996,1,,7,63.302,,540,,,,610.302,,,
1997,1,,7.5,62.456,,430,,,,499.956,,,
1998,1,,7.7,61.772,,380,,,,449.472,,,
1999,1,,8.5,60.358,,390,,,,458.858,,,
2000,1,,8.6,57.707,,420,,,,486.307,,,
2001,1,,9.45,55.172,,370,,,,434.622,,,
2002,1,,10.204,53.293,,380,,,,443.497,,,
2003,1,,13,51.813,,400,,,,464.813,,,
2004,1,,14,51.13,,410,,,,475.13,,,
2005,1,,15.9,50.167,,430,,,,496.067,,,
2006,1,,18.3,52.501,,380,,,,450.801,,,
2007,1,,22,55.046,,420,,,,497.046,,,
2008,1,,26.4,58.436,,470,,,,554.836,,,
2009,1,,32.8,59.822,,504,,,,596.622,,,
2010,1,,36.8,64.714,,540.526,,,,642.04,,,
2011,1,,39.6,70.795,,524.264,,,,634.658,,,
2012,1,,39.6,78.841,,438.095,,,,556.535,,,
2013,1,,39.6,91.426,,571.655,,,,702.68,,,
2014,1,,39.6,109.407,,578.535,,,,727.542,,,
2015,1,,39.6,128.213,,512.736,,,,680.549,,,
2016,1,,39.6,161.502,,444.654,,,,645.756,,,
2017,1,,39.6,193.414,,429.592,,,,662.606,,,
2018,1,,39.6,220.837,,524.877,,,,785.314,,,
2019,1,,39.6,251.409,,545.53,,,,836.539,,,
2020,1,,39.6,286.315,,440.779,,,,766.693,,,
2021,1,,39.6,328.73,,463.779,,,,832.109,,,
1949,2,,,,,19.986,,,19.986,19.986,,,
1950,2,,,,,19.075,,,19.075,19.075,,,
1951,2,,,,,18.198,,,18.198,18.198,,,
1952,2,,,,,17.114,,,17.114,17.114,,,
1953,2,,,,,15.738,,,15.738,15.738,,,
1954,2,,,,,15.17,,,15.17,15.17,,,
1955,2,,,,,14.706,,,14.706,14.706,,,
1956,2,,,,,14.018,,,14.018,14.018,,,
1957,2,,,,,13.33,,,13.33,13.33,,,
1958,2,,,,,13.089,,,13.089,13.089,,,
1959,2,,,,,12.298,,,12.298,12.298,,,
1960,2,,,,,11.868,,,11.868,11.868,,,
1961,2,,,,,11.146,,,11.146,11.146,,,
1962,2,,,,,10.63,,,10.63,10.63,,,
1963,2,,,,,10.165,,,10.165,10.165,,,
1964,2,,,,,9.46,,,9.46,9.46,,,
1965,2,,,,,8.858,,,8.858,8.858,,,
1966,2,,,,,8.617,,,8.617,8.617,,,
1967,2,,,,,8.325,,,8.325,8.325,,,
1968,2,,,,,8.136,,,8.136,8.136,,,
