State,Coal,Natural Gas excluding Supplemental Gaseous Fuels,Distillate Fuel Oil excluding Biodiesel,HGL,Jet Fuel,Petroleum Motor Gasoline excluding Fuel Ethanol ,Residual Fuel Oil,Other,total fossil,supplemental_gaseous_fuel,biodiesel,ethanol
Alabama,256.7,712.9,147.4,10.1,8.5,319.2,5.2,35.2,"1,495.10",0,5.3,21.6
Alaska,18.5,373.6,58,1.3,104.3,29.5,0,29.4,614.6,0,0.9,0
Arizona,156.8,513.5,159.2,9.9,55.5,297.9,0,24.5,"1,217.50",0,2.2,23.5
Arkansas,162,335.4,114.9,8.1,5.2,159.5,(s),27.3,812.5,0,4.2,10.8
California,28,"2,144.00",494,58.2,337,"1,357.80",126.1,299.8,"4,844.90",0,34,106.9
Colorado,217.1,552.3,114,17.6,43.1,228.6,0,36.5,"1,209.30",5.1,1.4,18
Connecticut,0.1,297.6,93.1,11.5,6,138.6,0.4,13.3,560.5,0,1.1,10.9
Delaware,2,94,13.9,4.3,8.3,50.7,0.8,26.8,200.8,0,0.2,4
Dist. of Col.,0,28,1.9,,0,10.9,0,2.7,43.5,0,0.1,0.8
Florida,180.4,"1,619.20",301.7,19.8,190,912.7,8.4,58.6,"3,290.70",0,3.5,66.6
Georgia,153.2,779.4,221.8,18.9,83.1,512,2.3,42.6,"1,813.30",0.4,2.6,37.4
Hawaii,13.3,0.2,27.3,3.4,51.4,40.3,53.6,11.7,201,2.1,0.8,3.2
Idaho,2.7,129.4,71.7,7.2,5.2,86.1,0,7.1,309.3,0,0.9,6.8
Illinois,391.1,"1,153.70",258.8,85,104.1,428.7,0.4,167.7,"2,589.50",13.3,20.8,33
Indiana,669.3,871.6,201.9,22.4,18.6,312.3,1.3,97.4,"2,194.80",3.3,5.4,23.2
Iowa,183,396.4,148,74.5,4.5,151.9,0,20.9,979.1,34.7,8.5,13.1
Kansas,193.8,301.4,121.5,11.9,6.3,139.7,3.6,51.9,830.1,0,3.3,9.9
Kentucky,482.3,343.8,142.4,36.2,84.7,223.2,0,64.6,"1,377.20",0,3.9,16.7
Louisiana,48.7,"1,924.40",166.5,652.8,13.9,220,23.8,697.1,"3,747.10",0,6,14.8
